id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords,chinese_name
31686,AGGK,small_airport,Ngorangora Airport,-10.449700355500001,161.897994995,54,OC,SB,SB-MK,Kirakira,yes,AGGK,IRA,AGGK,,,https://en.wikipedia.org/wiki/Kirakira_Airport,,恩戈兰戈拉机场
32275,AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.794998,18,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,yes,AGGL,SCZ,AGGL,,,https://en.wikipedia.org/wiki/Luova_Airport,,圣克鲁斯/格拉西奥萨湾/洛瓦机场
4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,10,OC,SB,SB-WE,Munda,yes,AGGM,MUA,AGGM,,,https://en.wikipedia.org/wiki/Munda_Airport,,蒙达机场
31563,AGGN,small_airport,Nusatupe Airport,-8.09778022766,156.863998413,13,OC,SB,SB-WE,Gizo,yes,AGGN,GZO,AGGN,,,https://en.wikipedia.org/wiki/Nusatupe_Airport,,努萨图佩机场
31932,AGGO,small_airport,Mono Airport,-7.41694,155.565002,35,OC,SB,SB-WE,Stirling Island,yes,AGGO,MNY,AGGO,,,https://en.wikipedia.org/wiki/Mono_Airport,,莫诺机场
35171,AGGR,small_airport,Rennell/Tingoa Airport,-11.55,160.062778,550,OC,SB,SB-RB,Rennell Island,yes,AGGR,RNL,AGGR,,,https://en.wikipedia.org/wiki/Tingoa_Airport,,伦内尔/廷戈阿机场
308425,AGGT,small_airport,Santa Ana Airport,-10.847994,162.454108,3,OC,SB,SB-MK,Santa Ana Island,yes,AGGT,NNB,AGGT,,,https://en.wikipedia.org/wiki/Santa_Ana_Airport_(Solomon_Islands),,圣安娜机场
32238,AGGU,small_airport,Marau Airport,-9.86167,160.824997,3,OC,SB,SB-GU,Marau,yes,AGGU,RUS,AGGU,,,https://en.wikipedia.org/wiki/Marau_Airport,,马劳机场
32564,AGGV,small_airport,Suavanao Airport,-7.58556,158.731003,20,OC,SB,SB-IS,Suavanao,yes,AGGV,VAO,AGGV,,,https://en.wikipedia.org/wiki/Suavanao_Airport,,苏瓦瑙机场
302292,AGGY,small_airport,Yandina Airport,-9.092816,159.21841,60,OC,SB,SB-CE,Yandina,yes,AGGY,XYA,AGGY,,,https://en.wikipedia.org/wiki/Yandina_Airport,,延迪纳机场
35169,AGKG,small_airport,Kaghau Airport,-7.3305,157.585,30,OC,SB,SB-CH,Kagau Island,yes,AGKG,KGE,AGKG,,,https://en.wikipedia.org/wiki/Kaghau_Airport,Kagau Island,卡高机场
508090,AGOB,small_airport,Manaoba Airport,-8.325008,160.80051,14,OC,SB,SB-ML,Manaoba,yes,AGOB,MHM,AGOB,,,,,马纳奥巴机场
35168,AGOK,small_airport,Gatokae Aerodrome,-8.738358,158.202836,70,OC,SB,SB-WE,Gatokae,yes,AGOK,GTA,AGOK,,,https://en.wikipedia.org/wiki/Gatokae_Aerodrome,,加托卡埃机场
35170,AGRM,small_airport,Ramata Airport,-8.168060302734375,157.64300537109375,,OC,SB,SB-WE,Ramata,yes,AGRM,RBV,AGRM,,,https://en.wikipedia.org/wiki/Ramata_Airport,,拉马塔机场
16155,AK62,seaplane_base,Naukati Bay Seaplane Base,55.849602,-133.227994,,NA,US,US-AK,Tuxekan Island,yes,,NKI,AK62,AK62,,https://en.wikipedia.org/wiki/Naukati_Bay_Seaplane_Base,"62A, Nichin Cove Seaplane Base, WNC",诺卡提湾水上飞机基地
16174,AK81,seaplane_base,Amook Bay Seaplane Base,57.4715003967,-153.815002441,,NA,US,US-AK,Amook Bay,yes,,AOS,AK81,AK81,,https://en.wikipedia.org/wiki/Amook_Bay_Seaplane_Base,,阿穆克湾水上飞机基地
16289,ALZ,seaplane_base,Alitak Seaplane Base,56.897294,-154.249692,,NA,US,US-AK,Lazy Bay,yes,,ALZ,,ALZ,,https://en.wikipedia.org/wiki/Alitak_Seaplane_Base,,阿利塔克水上飞机基地
8,ANYN,medium_airport,Nauru International Airport,-0.547893,166.919525,22,OC,NR,NR-14,Yaren,yes,ANYN,INU,ANYN,,https://www.nauruair.com/,https://en.wikipedia.org/wiki/Nauru_International_Airport,"Nauru, Yaren District, Naero",瑙鲁国际机场
313091,AR-0503,small_airport,Gan Gan Field,-42.521363,-68.287861,,SA,AR,AR-U,,yes,,,,,,,,甘甘田
596544,AR-0767,medium_airport,Aeroestación Yabotí,-27.180308,-54.107368,400,SA,AR,AR-N,El Soberbio,yes,,,,,,,,亚博蒂航空站
354527,AU-0456,small_airport,Gruyere Airport,-28.034548,123.81506,1542,OC,AU,AU-WA,Cosmo Newbery,yes,YGRM,GYZ,YGRM,,,https://en.wikipedia.org/wiki/Gruyere_Airport,,格鲁耶尔机场
35302,AU-HIS,seaplane_base,Hayman Island Resort Seaplane Base,-20.059999465942383,148.88099670410156,,OC,AU,AU-QLD,Hayman Island,yes,,HIS,,,,,,海曼岛度假村水上飞机基地
314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.748317,105.58416,4560,AS,CN,CN-15,Bayanhot,yes,ZBAL,AXF,ZBAL,,,https://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport,,阿拉善左旗巴彦浩特机场
35179,AYBA,medium_airport,Baimuru Airport,-7.496955,144.821756,27,OC,PG,PG-GPK,Baimuru,yes,AYBA,VMU,AYBA,BMU,,https://en.wikipedia.org/wiki/Baimuru_Airport,,拜穆鲁机场
53,AYBK,medium_airport,Buka Airport,-5.422299,154.672698,11,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,AYBK,,,https://en.wikipedia.org/wiki/Buka_Airport,,布卡机场
35180,AYBM,medium_airport,Balimo Airport,-8.05000019073,142.932998657,51,OC,PG,PG-WPD,Balimo,yes,AYBM,OPU,AYBM,BLI,,https://en.wikipedia.org/wiki/Balimo_Airport,,巴利莫机场
54,AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974,OC,PG,PG-CPK,Kundiawa,yes,AYCH,CMU,AYCH,,,https://en.wikipedia.org/wiki/Chimbu_Airport,,钦布机场
55,AYDU,medium_airport,Daru Airport,-9.08676,143.207993,20,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,AYDU,,,https://en.wikipedia.org/wiki/Daru_Airport,,达鲁机场
301979,AYET,small_airport,Bosset Airport,-7.237257,141.1063222,80,OC,PG,PG-WPD,Bosset,yes,AYET,BOT,AYET,BST,,https://en.wikipedia.org/wiki/Bosset_Airport,Boset,博塞特机场
56,AYGA,medium_airport,Goroka Airport,-6.081689834590001,145.391998291,5282,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA,AYGA,,,https://en.wikipedia.org/wiki/Goroka_Airport,,戈罗卡机场
57,AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,88,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR,AYGN,,,https://en.wikipedia.org/wiki/Gurney_Airport,,格尼机场
58,AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP,AYGR,,,https://en.wikipedia.org/wiki/Girua_Airport,,吉鲁阿机场
31542,AYGT,small_airport,Gasmata Island Airport,-6.27111005783,150.330993652,23,OC,PG,PG-WBK,Gasmata Island,yes,AYGT,GMI,AYGT,GMA,,https://en.wikipedia.org/wiki/Gasmata_Airport,,加斯马塔岛机场
59,AYHK,medium_airport,Hoskins Airport,-5.463846,150.407327,66,OC,PG,PG-WBK,Kimbe,yes,AYHK,HKN,AYHK,,,https://en.wikipedia.org/wiki/Hoskins_Airport,,霍斯金斯机场
302264,AYIQ,small_airport,Aropa Airport,-6.305727,155.728249,20,OC,PG,PG-NSB,Kieta,yes,AYIQ,KIE,AYIQ,KIA,,https://en.wikipedia.org/wiki/Aropa_Airport,,阿罗帕机场
35188,AYKA,small_airport,Losuia Airport,-8.505820274353027,151.08099365234375,27,OC,PG,PG-MBA,Losuia,yes,AYKA,LSA,AYKA,,,https://en.wikipedia.org/wiki/Losuia_Airport,Formerly Kiriwina Airport,洛苏亚机场
35185,AYKI,small_airport,Kiunga Airport,-6.1257100105285645,141.28199768066406,88,OC,PG,PG-WPD,Kiunga,yes,AYKI,UNG,AYKI,,,https://en.wikipedia.org/wiki/Kiunga_Airport,,昆加机场
35184,AYKK,small_airport,Kikori Airport,-7.42438,144.250076,50,OC,PG,PG-GPK,Kikori,yes,AYKK,KRI,AYKK,,,https://en.wikipedia.org/wiki/Kikori_Airport,,基科里机场
60,AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA,AYKM,,,https://en.wikipedia.org/wiki/Kerema_Airport,,凯雷马机场
61,AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG,AYKV,,,https://en.wikipedia.org/wiki/Kavieng_Airport,,卡维恩机场
31837,AYKY,small_airport,Londolovit Airport,-3.04361009598,152.628997803,167,OC,PG,PG-NIK,Londolovit,yes,AYKY,LNV,AYKY,,,https://en.wikipedia.org/wiki/Lihir_Island_Airport,"Lihir Island, Kunaye",隆多洛维特机场
62,AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20,OC,PG,PG-MPM,Madang,yes,AYMD,MAG,AYMD,,,https://en.wikipedia.org/wiki/Madang_Airport,,马当机场
63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.828212,144.299412,5388,OC,PG,PG-WHM,Mount Hagen,yes,AYMH,HGU,AYMH,,,https://en.wikipedia.org/wiki/Mount_Hagen_Airport,,芒特哈根卡加穆加机场
64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680,OC,PG,PG-SHM,Mendi,yes,AYMN,MDU,AYMN,,,https://en.wikipedia.org/wiki/Mendi_Airport,,门迪机场
65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12,OC,PG,PG-MRL,Manus Island,yes,AYMO,MAS,AYMO,,,https://en.wikipedia.org/wiki/Momote_Airport,,莫莫特机场
31981,AYMR,small_airport,Moro Airport,-6.36332988739,143.238006592,2740,OC,PG,PG-SHM,Moro,yes,AYMR,MXH,AYMR,,,https://en.wikipedia.org/wiki/Moro_Airport,,莫罗机场
31911,AYMS,small_airport,Misima Island Airport,-10.689200401299999,152.837997437,26,OC,PG,PG-MBA,Misima Island,yes,AYMS,MIS,AYMS,,,https://en.wikipedia.org/wiki/Misima_Airport,,米西马岛机场
66,AYNZ,large_airport,Nadzab Tomodachi International Airport,-6.567995,146.726544,239,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,AYNZ,,,https://en.wikipedia.org/wiki/Lae_Nadzab_Airport,MFO,纳扎布·托莫达奇国际机场
35190,AYOB,small_airport,Obo Airport,-7.590622421369999,141.324262619,29,OC,PG,PG-WPD,Obo,yes,AYOB,OBX,AYOB,OBO,,https://en.wikipedia.org/wiki/Obo_Airport_(Papua_New_Guinea),,奥博机场
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,146,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,AYPY,,,https://en.wikipedia.org/wiki/Jacksons_International_Airport,,莫尔兹比港杰克逊斯国际机场
309428,AYSS,small_airport,Sasereme Airport,-7.6217,142.868,121,OC,PG,PG-WPD,Sasereme,yes,AYSS,TDS,AYSS,,,https://en.wikipedia.org/wiki/Sasereme_Airport,,萨塞雷梅机场
32451,AYTA,small_airport,Tari Airport,-5.845,142.947998,5500,OC,PG,PG-HLA,Tari,yes,AYTA,TIZ,AYTA,,,https://en.wikipedia.org/wiki/Tari_Airport,,塔里机场
32425,AYTB,small_airport,Tabubil Airport,-5.280471,141.227576,1570,OC,PG,PG-WPD,Tabubil,yes,AYTB,TBG,AYTB,,,https://en.wikipedia.org/wiki/Tabubil_Airport,,塔布比尔机场
307594,AYTI,small_airport,Tapini Airport,-8.35666666667,146.989166667,3100,OC,PG,PG-CPM,Tapini,yes,AYTI,TPI,AYTI,TAP,,https://en.wikipedia.org/wiki/Tapini_Airport,,塔皮尼机场
68,AYTK,medium_airport,Tokua Airport,-4.34046,152.380005,49,OC,PG,PG-EBR,Kokopo,yes,AYTK,RAB,AYTK,,,https://en.wikipedia.org/wiki/Rabaul_Airport,,托库阿机场
35192,AYTU,small_airport,Tufi Airport,-9.07595443726,149.319839478,85,OC,PG,PG-NPP,Tufi,yes,AYTU,TFI,AYTU,TUFI,,https://en.wikipedia.org/wiki/Tufi_Airport,,图菲机场
69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10,OC,PG,PG-SAN,Vanimo,yes,AYVN,VAI,AYVN,,,https://en.wikipedia.org/wiki/Vanimo_Airport,,瓦尼莫机场
70,AYWD,medium_airport,Wapenamanda Airport,-5.635293,143.892231,5889,OC,PG,PG-EPW,Wapenamanda,yes,AYWD,WBM,AYWD,,,https://en.wikipedia.org/wiki/Wapenamanda_Airport,,瓦佩纳曼达机场
71,AYWK,medium_airport,Wewak International Airport,-3.58383011818,143.669006348,19,OC,PG,PG-ESW,Wewak,yes,AYWK,WWK,AYWK,,,https://en.wikipedia.org/wiki/Wewak_International_Airport,,维瓦克国际机场
31697,BGAA,medium_airport,Aasiaat Airport,68.721802,-52.784698,74,NA,GL,GL-QK,Aasiaat,yes,BGAA,JEG,BGAA,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/aasiaat/,https://en.wikipedia.org/wiki/Aasiaat_Airport,"Mittarfik Aasiaat, Aasiaat Lufthavn, Egedesminde",亚西亚特机场
43214,BGAG,heliport,Aappilattoq Heliport,72.88703,-55.596287,42,NA,GL,GL-AV,Aappilattoq,yes,,AOQ,BGAG,AAP,,https://en.wikipedia.org/wiki/Aappilattoq_Heliport_(Avannaata),,阿皮拉托克直升机场
42247,BGAM,heliport,Tasiilaq Heliport,65.612296,-37.618335,24,NA,GL,GL-SE,Tasiilaq,yes,,AGM,BGAM,AGM,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/tasiilaq/,https://en.wikipedia.org/wiki/Tasiilaq_Heliport,Ammassalik,塔西拉克直升机场
35285,BGAP,heliport,Alluitsup Paa Heliport,60.46445,-45.56917,54,NA,GL,GL-KU,Alluitsup Paa,yes,,LLU,BGAP,,,https://en.wikipedia.org/wiki/Alluitsup_Paa_Heliport,Agdluitsup pâ,阿鲁特苏普帕直升机场
44046,BGAQ,heliport,Aappilattoq Heliport,60.148357,-44.286916,30,NA,GL,GL-KU,Aappilattoq,yes,,QUV,BGAQ,,,https://en.wikipedia.org/wiki/Aappilattoq_Heliport_(Kujalleq),Augpilagtoq,阿皮拉托克直升机场
44047,BGAS,heliport,Ammassivik Heliport,60.597376,-45.382445,71,NA,GL,GL-KU,Ammassivik,yes,,QUW,BGAS,,,https://en.wikipedia.org/wiki/Ammassivik_Heliport,"Angmagssivik, Sletten",阿马西维克直升机场
35286,BGAT,heliport,Attu Heliport,67.940663,-53.62187,32,NA,GL,GL-QK,Attu,yes,,QGQ,BGAT,,,https://en.wikipedia.org/wiki/Attu_Heliport,,阿图直升机场
113,BGBW,heliport,Narsarsuaq Airport,61.15958,-45.42469,112,NA,GL,GL-KU,Narsarsuaq,yes,BGBW,UAK,BGBW,,,https://en.wikipedia.org/wiki/Narsarsuaq_Airport,"Bluie West One, Mittarfik Narsarsuaq",纳沙斯瓦哥机场
35299,BGCH,heliport,Qasigiannguit Heliport,68.822816,-51.173447,70,NA,GL,GL-QK,Qasigiannguit,yes,BGCH,JCH,BGCH,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/qasigiannguit/,https://en.wikipedia.org/wiki/Qasigiannguit_Heliport,Christianshåb,卡西吉安吉特直升机场
30839,BGCO,medium_airport,Neerlerit Inaat Airport,70.743103,-22.650499,45,NA,GL,GL-SE,Neerlerit Inaat,yes,BGCO,CNP,BGCO,,,https://en.wikipedia.org/wiki/Nerlerit_Inaat_Airport,"Constable Point, Mittarfik Nerlerit Inaat, Constable Pynt Lufthavn",尼勒里特伊纳特机场
44052,BGET,heliport,Eqalugaarsuit Heliport,60.61972,-45.914062,9,NA,GL,GL-KU,Eqalugaarsuit,yes,,QFG,BGET,,,https://en.wikipedia.org/wiki/Eqalugaarsuit_Heliport,Eqalugârssuit,Eqalugaarsuit 直升机场
44062,BGFD,heliport,Narsarmijit Heliport,60.004694,-44.656935,44,NA,GL,GL-KU,Narsarmijit,yes,,QFN,BGFD,,,https://en.wikipedia.org/wiki/Narsarmijit_Heliport,"Narsaq Kujalleq, Frederiksdal",纳沙米吉特直升机场
44059,BGGD,heliport,Kangilinnguit Heliport,61.22896,-48.09698,101,NA,GL,GL-SE,Kangilinnguit,yes,,JGR,BGGD,,,https://en.wikipedia.org/wiki/Kangilinnguit,,康吉林吉特直升机场
114,BGGH,large_airport,Nuuk International Airport,64.191066,-51.67914,283,NA,GL,GL-SE,Nuuk,yes,BGGH,GOH,BGGH,,https://www.airports.gl/en/airport/nuuk/,https://en.wikipedia.org/wiki/Nuuk_Airport,"Godthåb, Nuussuaq, Mittarfik Nuuk, Nuuk International",努克国际机场
35300,BGGN,heliport,Qeqertarsuaq Heliport,69.251182,-53.514876,9,NA,GL,GL-QK,Qeqertarsuaq,yes,,JGO,BGGN,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/qeqertarsuaq/,https://en.wikipedia.org/wiki/Qeqertarsuaq_Heliport,Godhavn,凯克塔苏阿克直升机场
43215,BGIA,heliport,Ikerasak Heliport,70.498145,-51.303084,66,NA,GL,GL-AV,Ikerasak,yes,,IKE,BGIA,IKE,,https://en.wikipedia.org/wiki/Ikerasak_Heliport,,伊克拉萨克直升机场
44054,BGIG,heliport,Iginniarfik Heliport,68.14583,-53.16916,50,NA,GL,GL-QK,Iginniarfik,yes,BGIG,QFI,BGIG,,,https://en.wikipedia.org/wiki/Iginniarfik_Heliport,,伊金尼亚菲克直升机场
35290,BGIK,heliport,Ikerassaarsuk Heliport,68.140881,-53.441459,165,NA,GL,GL-QK,Ikerassaarsuk,yes,,QRY,BGIK,,,https://en.wikipedia.org/wiki/Ikerasaarsuk_Heliport,,伊克拉萨苏克直升机场
